,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std
LogReg,0.6603541427639147,0.012725218398569616,0.2107435842308286,0.009525553868250455
RandomForest,0.6667205609836363,0.013135057366003447,0.21441699724894994,0.011203472004719647
CatBoost,0.6687838610088993,0.010512180345682581,0.2202795116711199,0.008598469591840803
